RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
8,1,2,-8500.0,6,,1,1,1.0,12.0,2,4.0
1,2,3,42257.45266170637,24,1.0,1,1,6.0,19.0,2,4.0
1,1,2,,36,1.0,1,1,6.0,17.0,2,4.0
1,1,2,77338.53918010161,12,4.0,1,1,,21.0,2,4.0
5,2,3,-1263.2200148347038,24,1.0,1,1,,16.0,2,4.0
1,1,3,,48,,1,1,6.0,16.0,2,4.0
1,2,4,67883.550692954,13,,1,1,6.0,16.0,2,4.0
1,2,3,80150.19634657758,25,1.0,1,1,1.0,12.0,2,4.0
1,1,3,106491.37381015085,36,,1,1,6.0,16.0,2,4.0
1,2,2,42168.76616877989,53,,1,1,1.0,18.0,2,4.0
6,2,2,-1950.202927985898,48,,1,1,5.0,2.0,2,4.0
2,1,4,106044.24701544328,42,1.0,1,2,6.0,8.0,2,4.0
2,1,3,7058.733845117335,37,,1,1,1.0,22.0,2,4.0
1,2,2,,17,1.0,1,1,1.0,16.0,2,4.0
1,1,4,,47,1.0,1,1,6.0,19.0,1,4.0
2,2,4,96348.70101272187,37,,1,1,5.0,20.0,2,4.0
1,1,4,85562.55368872604,26,1.0,1,1,6.0,17.0,2,
1,1,2,95929.93297822257,40,5.0,1,1,6.0,19.0,2,4.0
1,2,3,,13,1.0,1,1,6.0,19.0,2,4.0
6,2,1,,36,,1,2,,2.0,2,2.0
8,2,2,,8,,1,1,,20.0,2,4.0
1,1,4,156160.40168065846,72,,1,1,,,2,1.0
9,1,3,27488.13659711712,55,,1,1,,7.0,1,
1,1,4,,39,1.0,1,1,1.0,16.0,2,4.0
4,2,3,6476.750322803113,25,,1,1,,16.0,2,4.0
1,2,3,-6500.213394295963,12,1.0,1,1,4.0,21.0,2,
1,1,1,72874.35132085317,4,,1,1,,24.0,2,
1,1,4,-8500.0,37,,1,1,1.0,19.0,2,4.0
1,2,4,,12,1.0,1,1,6.0,4.0,2,
8,2,2,72560.60910428935,18,,1,1,6.0,2.0,1,
1,2,2,91729.10668415092,27,1.0,1,1,6.0,18.0,2,4.0
8,1,3,24344.29990694189,13,1.0,1,1,1.0,18.0,2,4.0
1,1,2,-8500.0,48,,1,1,6.0,19.0,2,4.0
1,2,9,70229.96694179565,26,,1,2,1.0,18.0,2,
1,1,3,,53,3.0,1,1,6.0,15.0,2,4.0
1,2,1,-8500.0,37,,1,1,1.0,22.0,2,
1,2,4,33955.77135410282,39,,1,1,6.0,18.0,2,2.0
1,2,1,,45,,1,1,6.0,1.0,2,4.0
1,1,3,83819.67508113736,48,,1,1,4.0,21.0,2,4.0
8,2,2,,34,8.0,1,1,6.0,16.0,2,4.0
1,2,2,124467.32866707689,34,7.0,1,1,1.0,20.0,2,4.0
1,2,3,107613.39709986234,4,,1,1,1.0,23.0,2,2.0
2,2,3,35738.377496760426,29,,1,1,,12.0,2,1.0
1,2,4,-8500.0,24,,1,1,5.0,16.0,2,4.0
1,2,4,24505.68036189758,18,,1,1,6.0,17.0,2,4.0
1,2,3,-8500.0,24,1.0,1,1,1.0,17.0,2,4.0
1,1,2,79911.69116672271,36,,3,1,4.0,4.0,2,1.0
1,2,4,84449.20728253108,39,1.0,1,1,5.0,20.0,2,4.0
9,2,3,9539.577546557179,17,1.0,1,1,6.0,21.0,2,4.0
1,1,1,34329.3001617237,51,,1,1,,21.0,2,4.0
1,2,4,-8500.0,25,,1,1,6.0,23.0,2,
6,2,3,11400.64378309714,6,1.0,1,1,1.0,19.0,2,4.0
1,1,4,20120.818365958236,36,,1,1,4.0,12.0,1,4.0
9,1,3,-4188.036243285824,25,,1,1,4.0,2.0,2,4.0
9,2,1,-8500.0,13,1.0,1,1,,1.0,2,4.0
1,1,1,-8500.0,37,,1,1,1.0,21.0,1,4.0
1,1,4,,53,1.0,1,1,6.0,20.0,2,4.0
1,2,4,,42,,1,1,6.0,23.0,2,
1,1,4,82422.19470620017,22,,1,1,5.0,18.0,2,
2,1,4,40133.068744197255,42,1.0,1,1,6.0,17.0,2,4.0
2,1,2,,26,,1,1,6.0,4.0,2,4.0
1,1,1,88786.24942471244,44,,1,1,6.0,16.0,2,4.0
1,1,4,117647.47995481329,8,1.0,1,1,,1.0,2,4.0
1,2,4,-8500.0,6,,1,1,6.0,1.0,2,4.0
1,2,2,21725.372232805334,13,,1,1,5.0,18.0,2,1.0
1,1,2,,18,1.0,1,1,4.0,4.0,2,
1,1,4,-8500.0,25,1.0,1,1,6.0,,2,4.0
1,2,1,,48,,1,1,1.0,16.0,2,4.0
1,2,2,41387.31141400159,10,1.0,1,1,6.0,22.0,2,4.0
1,1,2,122207.19342671605,39,,1,1,1.0,22.0,2,4.0
8,1,4,,9,,1,1,5.0,18.0,1,4.0
2,1,4,3871.9961296218607,39,,1,1,1.0,22.0,2,4.0
1,2,2,,24,1.0,1,1,3.0,21.0,2,4.0
1,1,4,22680.642442311444,55,,3,2,5.0,5.0,1,
1,1,3,32217.63369398857,6,1.0,1,1,6.0,,2,4.0
1,2,1,4536.793170873105,36,1.0,1,1,,19.0,2,4.0
1,1,9,89101.97687502275,25,,1,1,6.0,17.0,2,4.0
1,1,4,152254.804938751,37,,1,2,1.0,18.0,2,
1,1,4,109982.60359498928,17,,1,1,1.0,,2,4.0
1,1,3,223360.72203782367,18,,1,1,1.0,22.0,2,4.0
9,2,4,,51,4.0,1,1,1.0,16.0,2,4.0
1,2,2,19799.494145956767,4,1.0,1,1,,1.0,2,4.0
2,1,3,-8500.0,12,,1,1,6.0,,1,4.0
1,2,4,150126.57916004964,32,1.0,1,1,6.0,19.0,2,
1,2,4,-8500.0,56,,1,1,1.0,19.0,2,4.0
1,2,4,108000.20313760467,36,1.0,1,1,6.0,21.0,2,4.0
1,1,4,27936.54033275976,56,1.0,1,1,6.0,20.0,2,4.0
1,2,9,79507.1087268354,20,,1,1,1.0,,2,
1,1,1,31221.973259240807,18,1.0,1,1,,18.0,2,4.0
1,2,1,-8500.0,55,,1,1,5.0,22.0,2,4.0
1,2,3,34866.16718002821,48,7.0,1,1,1.0,21.0,2,4.0
4,1,2,-8500.0,6,,1,1,1.0,18.0,2,4.0
1,2,3,69135.32982554754,13,,1,1,,18.0,2,
1,1,4,-8500.0,51,,1,1,1.0,1.0,2,4.0
3,1,2,89864.21425293901,37,1.0,1,1,5.0,15.0,2,
1,2,4,36721.44474343055,36,1.0,1,1,1.0,21.0,2,4.0
1,1,1,,26,,1,1,1.0,10.0,1,1.0
1,1,3,92910.51514158916,12,1.0,1,1,6.0,11.0,2,
6,2,4,-8500.0,19,,1,1,6.0,21.0,2,4.0
1,1,4,,51,1.0,1,1,6.0,,2,
2,2,4,,40,,1,1,,16.0,2,4.0
1,2,2,80263.73861488319,42,8.0,1,1,,14.0,2,
1,2,2,-8500.0,34,,1,1,6.0,19.0,2,4.0
2,2,2,128175.53091577193,42,1.0,3,2,,20.0,2,4.0
1,2,3,2846.700417397413,36,,1,1,,22.0,2,4.0
6,2,4,-8500.0,36,,1,1,3.0,17.0,2,4.0
1,2,3,41108.309251964725,13,3.0,1,1,6.0,21.0,2,4.0
6,2,4,,17,,1,1,,17.0,2,4.0
1,2,2,-8500.0,42,,1,1,6.0,16.0,2,4.0
9,1,4,,39,1.0,1,1,1.0,16.0,2,4.0
1,1,4,95818.71778880834,36,7.0,1,1,6.0,16.0,2,4.0
1,2,4,,56,,1,1,1.0,16.0,2,4.0
2,1,1,-8500.0,6,,1,1,,19.0,1,4.0
1,1,2,,17,1.0,1,1,6.0,16.0,2,4.0
1,1,4,,17,1.0,1,1,6.0,17.0,2,1.0
6,1,2,-5267.122327467048,8,8.0,1,1,6.0,16.0,2,4.0
2,1,3,,51,,1,1,6.0,18.0,2,4.0
9,2,2,-8500.0,17,1.0,1,1,,16.0,1,4.0
1,2,2,22273.8245078421,42,,1,1,1.0,16.0,2,4.0
1,1,1,50044.63424629987,55,,1,1,6.0,1.0,2,4.0
9,2,2,,36,1.0,1,1,1.0,16.0,2,4.0
1,1,2,8225.710329849295,39,1.0,1,1,,22.0,2,4.0
1,1,4,140221.8197450008,51,1.0,1,1,6.0,18.0,2,4.0
1,1,4,30702.075453257894,36,1.0,1,1,1.0,19.0,2,4.0
1,1,3,50163.18829258986,53,,1,1,1.0,16.0,2,4.0
1,2,3,-8500.0,27,1.0,1,1,1.0,16.0,2,
1,2,4,42439.088713674595,36,,1,1,6.0,18.0,2,4.0
9,2,3,-8500.0,13,,5,1,,24.0,1,4.0
1,1,1,147080.21352025526,25,1.0,1,1,,4.0,2,
1,1,4,19849.427485896784,17,,1,1,6.0,24.0,2,4.0
1,1,4,22726.00192910795,6,,1,1,6.0,12.0,1,
9,1,2,-8500.0,47,,1,1,5.0,21.0,2,4.0
1,2,3,-8500.0,1,,1,1,1.0,14.0,2,4.0
1,1,4,21388.220880616223,20,1.0,1,1,6.0,21.0,1,4.0
1,1,4,-8500.0,20,,1,1,6.0,,2,4.0
1,1,3,81216.89302842502,37,,1,1,1.0,22.0,2,
1,1,2,29347.758157817036,37,,1,1,6.0,21.0,2,
9,2,4,37267.79177717918,26,,1,1,6.0,18.0,2,1.0
8,2,4,22371.693489617683,27,,1,1,6.0,19.0,2,4.0
1,2,3,45959.174790478646,6,,1,1,1.0,22.0,1,4.0
1,2,3,14190.150289355206,17,1.0,1,1,5.0,16.0,2,4.0
9,2,4,,36,1.0,1,1,,19.0,2,4.0
9,2,4,-4501.094588752552,8,,1,1,,20.0,2,4.0
1,2,2,,37,,1,1,6.0,21.0,2,4.0
1,2,4,-8500.0,56,3.0,1,1,1.0,16.0,2,4.0
1,1,3,88466.49487908176,17,1.0,1,1,4.0,19.0,2,4.0
1,2,4,61207.07936305553,56,1.0,1,1,,21.0,2,4.0
1,1,4,102543.88959347953,39,3.0,1,1,,19.0,2,4.0
1,1,1,-839.7258689043883,48,,1,1,6.0,12.0,2,4.0
1,1,4,9638.732529213827,49,1.0,1,1,,4.0,2,4.0
9,2,3,3303.914620431635,42,1.0,1,1,6.0,,2,4.0
1,1,9,-8500.0,42,,1,1,5.0,4.0,2,1.0
1,1,4,-6113.48095252546,36,,1,1,5.0,12.0,2,
1,2,3,-8500.0,37,,1,1,6.0,20.0,2,4.0
1,1,2,23608.40928992412,12,,1,1,,4.0,1,4.0
9,2,2,11150.385170536792,34,1.0,1,1,1.0,19.0,2,4.0
1,2,3,,4,1.0,1,1,1.0,14.0,2,4.0
9,1,4,55193.37673797864,22,2.0,1,2,1.0,1.0,2,4.0
9,2,3,45702.31863972207,1,4.0,1,1,6.0,5.0,2,4.0
1,1,3,105566.51035620127,28,,1,1,,20.0,2,4.0
1,1,3,24799.071575396436,22,1.0,1,1,6.0,20.0,2,
1,2,3,64075.27193949527,6,,1,1,1.0,4.0,2,
1,2,2,,17,1.0,1,1,6.0,18.0,2,4.0
4,2,3,32155.845645213034,26,1.0,1,1,,22.0,2,4.0
4,2,4,,26,,3,2,6.0,20.0,2,
1,1,3,113564.18045910363,12,1.0,1,1,1.0,19.0,2,4.0
9,2,4,16332.957480093086,6,,3,2,4.0,21.0,2,4.0
9,2,4,-8500.0,4,1.0,1,1,,20.0,2,4.0
1,1,4,-8500.0,4,,3,2,6.0,21.0,2,4.0
1,1,3,85775.44064872278,6,1.0,1,1,1.0,18.0,2,4.0
1,1,3,128997.18178185253,39,,1,1,1.0,18.0,2,4.0
1,2,4,67647.53718724169,42,1.0,1,1,1.0,16.0,2,4.0
1,1,1,,37,,1,1,,19.0,2,4.0
2,1,3,,12,,1,1,6.0,16.0,2,4.0
1,1,4,143063.45884355117,39,1.0,1,1,6.0,24.0,2,
9,1,1,72034.1102131257,39,1.0,1,1,,19.0,2,4.0
1,2,4,56801.129791705716,27,,1,1,,20.0,2,
2,2,3,8932.925642705384,12,,1,1,6.0,4.0,1,4.0
1,1,3,13669.724702345371,25,1.0,1,1,6.0,18.0,2,4.0
2,1,4,84987.59234806985,51,1.0,1,1,1.0,20.0,2,4.0
1,1,4,-5439.934904090405,39,2.0,1,1,1.0,2.0,2,
1,2,1,134137.22314312286,26,1.0,1,1,,19.0,2,4.0
1,2,3,,35,8.0,1,1,,16.0,2,4.0
1,1,4,,47,,1,1,1.0,21.0,2,4.0
1,2,4,,53,,5,1,6.0,19.0,2,
1,1,1,36409.89302439781,34,,1,1,6.0,21.0,2,4.0
1,2,4,,42,1.0,1,1,6.0,21.0,2,4.0
1,1,2,35220.57240967192,34,1.0,5,1,5.0,12.0,2,
1,2,3,,36,1.0,1,1,1.0,19.0,2,4.0
1,2,2,,1,1.0,1,1,1.0,16.0,2,4.0
9,2,1,-8500.0,49,,1,1,6.0,21.0,2,4.0
1,1,3,110348.7220789688,25,,1,1,1.0,20.0,2,4.0
1,1,4,199001.40056426724,37,1.0,1,1,,19.0,2,4.0
9,2,1,47541.4673692322,42,1.0,1,1,1.0,21.0,2,
1,1,4,,29,2.0,1,1,6.0,21.0,2,4.0
1,2,4,,8,1.0,1,1,6.0,22.0,2,4.0
1,1,2,68231.62959762002,36,1.0,1,1,4.0,18.0,2,
1,2,4,,51,,1,1,,1.0,2,1.0
1,1,3,-2615.979978163705,12,1.0,1,1,1.0,22.0,2,4.0
1,2,4,31039.460124302346,17,,1,1,,20.0,2,4.0
1,1,4,-8500.0,55,1.0,1,1,,21.0,2,4.0
1,1,9,77148.33835017856,8,,1,1,6.0,20.0,2,4.0
1,2,2,111896.74059247397,56,,1,1,4.0,22.0,2,4.0
1,2,3,31555.39315916342,6,1.0,1,1,1.0,18.0,2,4.0
1,1,4,,34,,1,1,3.0,1.0,2,4.0
1,2,3,70853.43680310274,28,1.0,1,1,1.0,20.0,2,4.0
1,2,2,114231.1002013679,12,1.0,1,1,,21.0,2,4.0
9,2,2,54817.63349389598,27,6.0,1,1,1.0,16.0,2,4.0
1,2,1,43108.30455063154,54,1.0,1,1,6.0,16.0,2,4.0
1,2,4,92355.4144310241,36,,1,1,3.0,21.0,1,4.0
9,2,4,17348.545549749517,36,1.0,1,1,6.0,22.0,2,
1,2,4,-5258.745843463694,17,,1,1,6.0,15.0,2,4.0
9,1,4,13654.456013391937,48,1.0,1,1,,19.0,2,4.0
1,2,4,19130.73475541305,26,1.0,1,1,1.0,21.0,2,4.0
1,1,9,,12,1.0,3,1,6.0,21.0,2,4.0
6,2,4,-8500.0,6,,4,2,5.0,20.0,2,2.0
1,1,4,31672.31534238942,56,1.0,1,1,6.0,21.0,2,4.0
1,1,1,24442.508570162816,8,,1,1,1.0,7.0,1,1.0
1,2,4,,24,1.0,1,1,1.0,20.0,2,
1,2,3,-8500.0,17,,1,1,,11.0,2,4.0
9,1,4,,37,,1,1,6.0,21.0,1,4.0
9,1,4,,26,,1,1,6.0,1.0,2,
1,1,3,114479.9406388416,6,,1,1,1.0,1.0,2,4.0
8,1,2,-8500.0,51,1.0,4,1,6.0,18.0,2,
1,2,3,37465.95959292713,18,1.0,1,1,1.0,16.0,2,
9,2,3,-8500.0,17,,1,1,6.0,16.0,1,4.0
1,2,2,,13,,1,1,,4.0,2,4.0
9,1,4,27920.988592251357,37,1.0,1,1,6.0,20.0,2,
1,2,4,123014.64461615609,9,,1,1,6.0,13.0,2,4.0
6,2,4,71270.59139013605,40,1.0,1,1,6.0,12.0,2,
1,1,4,27278.00586094168,51,,1,1,1.0,21.0,2,4.0
9,2,4,-8500.0,51,,1,1,6.0,18.0,2,
1,1,3,,17,,1,1,1.0,,2,
9,1,2,105105.9459108407,13,,1,1,,2.0,2,4.0
1,1,3,,48,6.0,3,1,1.0,16.0,2,4.0
6,2,4,-8500.0,48,,1,1,4.0,19.0,2,4.0
1,1,3,97315.49196124612,27,,1,1,1.0,18.0,2,4.0
1,1,2,160936.0934127094,56,1.0,1,1,6.0,20.0,2,
1,2,4,-8500.0,36,1.0,5,1,1.0,3.0,2,4.0
2,2,3,-8500.0,27,,1,1,1.0,22.0,2,4.0
1,1,1,78485.43722267987,23,1.0,1,1,1.0,12.0,2,
4,2,4,-994.3238718029897,36,1.0,1,1,1.0,16.0,1,4.0
9,2,4,,37,,1,2,4.0,4.0,2,
1,2,4,133094.589736212,39,1.0,1,1,1.0,19.0,2,4.0
1,1,4,33377.06512316929,6,,1,1,1.0,4.0,2,4.0
6,1,4,,53,1.0,1,1,,20.0,2,4.0
1,2,3,66683.76158178027,6,1.0,1,1,1.0,16.0,2,4.0
4,1,4,130305.8155489532,39,,4,2,,19.0,1,
1,1,4,,25,1.0,1,1,2.0,19.0,2,4.0
1,2,3,,13,,1,1,6.0,,2,4.0
1,2,2,19785.58776379687,45,2.0,1,1,6.0,22.0,2,4.0
1,2,9,,17,1.0,1,1,6.0,11.0,2,4.0
4,1,2,1415.8937859761209,27,,1,1,5.0,,2,
1,2,2,65837.54411434868,25,8.0,1,1,,16.0,1,4.0
1,2,4,51794.17969665557,6,,4,2,6.0,21.0,2,4.0
1,1,1,,45,1.0,1,1,6.0,24.0,2,
1,1,2,114809.74979326784,37,,1,1,6.0,4.0,2,4.0
1,1,2,104984.56531747492,56,1.0,1,1,,16.0,2,4.0
1,2,4,4697.278690181578,26,,1,1,6.0,22.0,2,4.0
9,2,3,,47,,1,1,1.0,19.0,2,4.0
1,2,4,59462.68611480772,16,1.0,1,1,5.0,18.0,2,
9,2,4,120791.628049658,4,,1,1,6.0,4.0,2,4.0
1,2,2,45733.616858532565,26,2.0,1,1,,19.0,2,4.0
1,1,2,,26,,1,1,,6.0,2,
2,2,3,154644.80400686435,6,1.0,1,1,6.0,19.0,2,4.0
1,2,2,50173.517856033024,1,,1,1,2.0,16.0,2,4.0
4,2,4,-8500.0,6,,4,1,5.0,20.0,2,4.0
2,1,2,-8500.0,48,1.0,1,1,,21.0,2,4.0
1,1,3,32180.856379241348,12,1.0,1,1,1.0,19.0,2,4.0
2,1,4,97671.75050868545,51,1.0,3,2,1.0,19.0,2,4.0
1,1,4,,1,1.0,1,1,,21.0,2,4.0
1,1,3,3684.9118822180462,6,1.0,1,1,,18.0,2,4.0
1,2,2,,17,1.0,1,1,1.0,19.0,2,4.0
1,1,4,18889.32365030013,53,1.0,1,1,,21.0,2,
2,2,4,-8500.0,51,,1,1,,20.0,2,4.0
2,2,4,38454.23138159326,26,,3,1,6.0,4.0,2,4.0
2,1,9,56780.90875156261,34,2.0,1,1,,16.0,2,4.0
1,2,3,91732.71478656642,48,,1,1,,21.0,2,4.0
1,2,3,79525.37265619481,48,1.0,1,1,1.0,21.0,1,4.0
1,1,3,93335.53664907714,1,1.0,1,1,6.0,4.0,2,4.0
9,1,2,25056.72012029334,47,1.0,1,1,,20.0,2,4.0
1,2,3,-8500.0,27,,1,1,,16.0,2,
1,1,4,,36,,1,1,,13.0,2,
9,2,1,48777.332379868574,47,,1,1,5.0,21.0,2,4.0
2,2,4,53051.182818018606,39,1.0,4,1,,21.0,2,4.0
1,1,2,28505.831965301306,8,,1,1,6.0,17.0,2,4.0
1,2,4,4413.10835088489,29,1.0,1,1,6.0,20.0,2,4.0
1,2,3,99253.74724494346,51,,1,1,5.0,19.0,2,4.0
1,2,4,-8500.0,29,1.0,1,1,6.0,1.0,2,4.0
2,1,3,,6,1.0,1,1,6.0,10.0,2,4.0
4,2,3,-8500.0,39,,1,1,1.0,18.0,2,
1,2,4,152744.68859391683,29,8.0,1,1,1.0,16.0,2,4.0
1,1,2,64470.53969079746,12,,1,1,5.0,20.0,2,4.0
1,1,3,21227.01230972727,36,,1,1,6.0,4.0,2,1.0
1,2,4,-8500.0,47,,1,1,1.0,16.0,2,4.0
9,2,4,71862.80630696332,36,,3,2,6.0,12.0,2,
1,2,3,41421.17844705931,6,8.0,1,1,1.0,16.0,2,4.0
1,1,3,,41,,1,1,6.0,11.0,2,2.0
1,2,3,103721.17680494815,48,,1,1,1.0,,2,4.0
1,2,4,,9,,1,1,6.0,19.0,2,4.0
8,2,3,45205.255232791846,39,1.0,1,1,6.0,16.0,2,
9,1,4,5980.588239318575,51,2.0,1,1,1.0,18.0,2,4.0
1,1,4,84357.15039973886,26,1.0,1,1,1.0,3.0,1,4.0
8,2,4,110066.81417681844,39,1.0,1,2,1.0,17.0,2,4.0
1,2,3,79393.74642759548,17,,1,1,1.0,16.0,2,4.0
2,2,2,-8500.0,6,,1,1,5.0,20.0,2,4.0
1,2,3,-8500.0,29,,3,1,1.0,22.0,2,4.0
1,2,3,-8500.0,39,,1,1,,20.0,2,4.0
6,2,4,-8500.0,26,,1,1,,20.0,2,4.0
6,1,3,29204.30621761918,6,,1,1,1.0,21.0,2,4.0
1,1,4,72374.24087906192,36,,4,1,6.0,18.0,2,
1,1,4,160538.4413667598,6,1.0,1,1,,22.0,2,
1,1,3,89096.69683156325,25,1.0,1,1,,16.0,2,4.0
2,2,3,,28,1.0,1,1,,17.0,2,
1,1,2,62415.862345194415,27,,1,1,1.0,19.0,2,4.0
1,2,4,-8084.433543168227,4,,1,1,,20.0,2,4.0
1,2,2,9933.83026340873,42,,1,1,1.0,19.0,2,
2,1,3,150622.09644614332,29,1.0,1,1,1.0,,1,4.0
1,1,2,,6,1.0,1,1,6.0,21.0,2,4.0
1,2,9,-8500.0,40,,1,1,6.0,16.0,1,4.0
1,1,3,49582.86427200512,24,1.0,1,1,1.0,11.0,2,
1,2,9,,12,1.0,1,1,1.0,21.0,2,4.0
1,2,4,94135.31002861226,22,8.0,1,1,1.0,21.0,2,4.0
1,2,4,-8500.0,4,,3,1,6.0,21.0,2,4.0
1,2,2,,37,,1,1,6.0,22.0,2,4.0
1,1,3,38830.62655382729,37,,1,1,1.0,22.0,2,4.0
1,1,3,54542.87722735472,25,1.0,1,1,1.0,19.0,2,4.0
9,2,3,21194.07711571657,37,,1,1,1.0,22.0,1,4.0
1,2,2,,4,1.0,1,1,6.0,19.0,2,4.0
9,2,2,-8500.0,21,,1,1,6.0,4.0,2,
9,2,3,,15,,1,1,6.0,21.0,2,4.0
1,1,4,36439.19451181195,9,1.0,1,1,1.0,1.0,2,4.0
1,2,4,37506.7450215438,42,,1,1,1.0,18.0,1,4.0
1,1,3,54340.78049155899,21,1.0,1,1,6.0,20.0,2,
1,1,4,-8500.0,53,1.0,1,1,6.0,21.0,2,4.0
2,2,3,,48,,1,1,,21.0,1,4.0
4,2,2,131980.62664340765,36,,1,2,,12.0,2,4.0
2,2,4,13321.312923478963,26,1.0,3,1,5.0,21.0,2,4.0
1,2,3,84539.2438072495,55,,1,1,1.0,11.0,1,4.0
1,1,3,-4503.4153122111675,6,,1,1,6.0,19.0,2,4.0
1,2,4,147252.87621388093,56,1.0,1,1,1.0,19.0,2,4.0
1,1,2,79691.15784355419,21,1.0,1,1,,1.0,2,4.0
1,1,3,87355.31981236005,17,1.0,1,1,6.0,24.0,2,
2,1,4,69619.5712287283,34,1.0,1,1,,7.0,2,4.0
