RAC1P,SEX,REGION,PINCP,ST,COW,CIT,NATIVITY,MSP,SCHL,DIS,MIL
1,1,4,79041.39389451743,48,1.0,1,1,None,18.0,2,4.0
1,2,4,63171.91841761043,53,1.0,3,2,1.0,20.0,2,4.0
1,1,4,-8500.0,55,None,1,1,6.0,None,2,2.0
1,2,4,76900.04184377093,48,1.0,1,1,6.0,20.0,2,4.0
9,1,3,-3464.280351831527,6,1.0,1,1,None,22.0,2,4.0
1,1,3,None,6,None,1,1,6.0,24.0,2,None
1,1,4,None,48,None,1,1,1.0,8.0,2,4.0
1,2,3,63643.40496146536,6,None,1,1,1.0,22.0,2,4.0
9,1,4,None,13,1.0,1,1,None,21.0,2,4.0
4,1,3,66542.19240858476,6,2.0,1,1,6.0,16.0,2,4.0
1,1,4,81263.15833745936,55,None,1,1,6.0,19.0,2,4.0
1,1,3,114524.1399961438,6,1.0,1,2,1.0,17.0,2,4.0
9,1,3,72454.24966143304,36,1.0,1,1,None,19.0,2,4.0
1,1,3,None,6,1.0,1,1,None,22.0,2,4.0
1,2,4,132318.27618114746,51,1.0,1,1,None,18.0,2,4.0
1,2,4,-4857.148540306676,37,None,4,1,None,20.0,2,4.0
9,1,4,None,18,1.0,1,1,1.0,24.0,2,4.0
3,2,4,161626.42378251618,37,None,1,1,4.0,14.0,2,None
1,2,4,129789.1543359176,35,None,1,1,6.0,6.0,2,4.0
1,2,4,None,39,3.0,1,1,None,16.0,2,4.0
2,1,4,3871.9961296218607,39,None,1,1,1.0,22.0,2,4.0
1,1,4,None,41,None,1,1,4.0,4.0,2,4.0
1,2,4,-160.20068945892126,28,1.0,1,1,6.0,21.0,2,4.0
1,1,3,50553.67273011711,17,1.0,1,1,6.0,21.0,2,4.0
1,2,2,138781.29242465616,47,None,1,1,1.0,22.0,2,4.0
1,2,4,67758.87356976648,28,None,1,1,1.0,19.0,2,4.0
6,1,4,35434.967915991976,39,1.0,1,1,None,8.0,2,4.0
1,2,3,11548.238659610432,12,1.0,1,1,1.0,None,2,4.0
1,2,3,45967.573225484026,36,None,1,1,1.0,20.0,2,4.0
1,2,4,None,37,1.0,3,1,1.0,16.0,2,4.0
1,2,4,76255.15485493894,18,1.0,1,1,6.0,19.0,2,4.0
1,2,4,None,53,1.0,1,1,1.0,21.0,2,None
1,1,2,69308.2822615179,22,1.0,1,1,1.0,20.0,1,None
1,1,4,None,13,1.0,1,1,None,22.0,2,4.0
1,2,3,189695.72970869823,17,1.0,1,1,6.0,1.0,2,4.0
9,2,3,57670.22271133688,36,1.0,1,1,2.0,19.0,2,4.0
1,1,4,121604.3242575098,42,1.0,1,1,None,19.0,2,4.0
2,1,3,88509.36428997644,12,None,1,1,1.0,21.0,2,4.0
1,1,3,-8500.0,6,1.0,1,1,1.0,None,2,4.0
1,2,3,36253.013556307895,8,1.0,1,1,None,21.0,2,4.0
2,1,4,182583.8291082616,45,1.0,1,1,3.0,19.0,2,4.0
1,2,4,None,15,1.0,1,1,6.0,16.0,2,4.0
1,2,4,None,42,1.0,1,1,6.0,22.0,2,4.0
1,1,4,13043.057528064375,13,None,1,1,5.0,15.0,2,None
1,2,4,87873.00353369597,37,1.0,1,1,1.0,20.0,2,4.0
1,1,3,-8500.0,36,None,1,1,None,22.0,2,4.0
1,1,3,13940.64829435059,21,None,1,1,1.0,19.0,2,4.0
1,1,3,95287.10784174758,36,1.0,1,1,6.0,21.0,2,4.0
1,2,4,151248.73309089898,42,None,1,1,6.0,14.0,2,4.0
1,2,4,-4139.917049185031,31,6.0,1,1,6.0,16.0,2,4.0
9,1,3,None,17,1.0,1,1,6.0,19.0,2,None
8,1,3,-8500.0,46,None,1,1,1.0,16.0,2,4.0
1,1,4,-8500.0,26,1.0,1,1,5.0,19.0,2,4.0
1,1,3,45480.00491345838,36,8.0,4,1,6.0,18.0,2,4.0
1,1,4,46402.69599921325,26,3.0,1,1,None,19.0,2,4.0
1,1,4,38799.3470785971,39,3.0,1,1,1.0,21.0,2,4.0
9,2,3,None,8,None,1,1,1.0,21.0,2,4.0
1,1,3,109470.62793135217,36,8.0,1,1,1.0,21.0,2,4.0
1,2,3,None,17,2.0,1,1,1.0,21.0,2,4.0
1,2,4,66564.62642655295,53,1.0,1,1,1.0,1.0,2,None
1,1,4,117381.24118086867,53,1.0,1,1,5.0,22.0,2,4.0
1,1,4,-1822.0837459833276,26,None,1,1,6.0,19.0,1,4.0
1,1,2,25421.23113869165,47,1.0,1,1,1.0,21.0,2,4.0
9,2,4,-8500.0,37,1.0,1,1,6.0,10.0,2,4.0
9,1,2,80644.07312637262,22,8.0,1,1,1.0,16.0,2,4.0
1,1,3,40014.48022843873,8,None,1,1,1.0,None,2,4.0
2,1,4,21846.44884880904,42,1.0,1,1,1.0,20.0,2,4.0
1,1,4,128348.69624985728,42,8.0,1,1,6.0,22.0,2,4.0
1,2,3,-4601.185147250857,17,None,1,1,6.0,20.0,2,4.0
9,1,3,154725.55380933988,12,6.0,1,1,1.0,22.0,2,4.0
1,1,4,2543.621554995043,26,1.0,1,1,6.0,22.0,2,4.0
8,2,3,-4216.335519271175,21,None,1,1,1.0,16.0,2,4.0
1,1,4,None,18,None,1,1,6.0,20.0,2,None
1,1,4,87999.68195383932,26,None,5,1,None,18.0,2,4.0
1,2,4,80329.3186792469,39,None,1,1,6.0,17.0,2,None
1,2,4,-1780.616548844264,53,None,1,1,1.0,14.0,2,4.0
1,1,4,-8500.0,53,1.0,1,1,1.0,16.0,2,4.0
9,1,4,None,39,None,1,1,3.0,2.0,2,None
9,2,4,None,26,1.0,1,1,6.0,22.0,2,4.0
8,1,4,76546.74058174905,55,None,1,1,1.0,10.0,2,4.0
1,2,4,19534.862084365373,53,None,1,1,1.0,22.0,2,4.0
1,2,2,None,5,None,1,1,None,11.0,2,4.0
1,1,3,87431.88391667334,12,None,1,1,6.0,16.0,2,None
1,2,4,None,26,2.0,1,1,None,21.0,2,4.0
1,2,3,105607.29853879788,12,5.0,1,1,None,16.0,2,4.0
1,1,4,46482.30916370072,42,1.0,1,1,6.0,19.0,2,4.0
1,1,4,106027.5090240178,55,None,1,1,None,19.0,2,4.0
2,2,3,41649.5404952785,17,None,1,1,6.0,14.0,2,4.0
9,2,4,-8500.0,39,None,4,1,6.0,13.0,2,4.0
2,1,4,70269.76596229774,42,None,1,1,None,18.0,2,4.0
1,1,4,67849.04165089456,26,1.0,1,1,1.0,11.0,2,None
9,1,3,121590.55447240954,12,None,1,1,1.0,4.0,2,4.0
2,2,3,None,17,None,1,1,5.0,4.0,1,None
1,1,3,-8163.992295683653,36,None,2,2,1.0,1.0,2,None
9,1,4,16933.545417809393,55,8.0,1,1,6.0,21.0,2,4.0
1,2,4,117980.188401406,37,6.0,1,1,1.0,19.0,2,4.0
8,1,3,None,21,None,1,1,6.0,19.0,2,4.0
1,2,2,124978.99396163972,40,None,1,1,6.0,20.0,2,None
9,1,4,84293.2783693455,53,1.0,1,1,6.0,20.0,2,4.0
1,2,2,100315.81321434246,22,1.0,1,1,6.0,21.0,2,4.0
1,1,3,15171.315371610606,8,1.0,1,1,1.0,16.0,2,4.0
1,1,3,-8500.0,8,None,1,1,6.0,21.0,1,4.0
9,2,3,157996.37795272216,36,8.0,1,1,1.0,16.0,2,4.0
1,1,3,185396.22350166744,17,1.0,1,1,1.0,21.0,2,4.0
6,1,4,-8500.0,53,None,1,1,6.0,13.0,2,None
1,1,3,46996.21171282407,8,1.0,1,1,6.0,19.0,2,4.0
8,1,4,35155.21624891185,39,None,1,1,6.0,19.0,2,None
8,2,4,20018.972877616,39,1.0,1,1,5.0,15.0,2,4.0
1,2,3,106645.9157509685,17,None,1,1,2.0,19.0,2,4.0
1,2,3,46140.321176032194,17,None,1,1,None,16.0,2,4.0
1,2,3,None,36,1.0,1,1,6.0,16.0,2,4.0
1,2,4,-8500.0,26,1.0,1,1,5.0,22.0,2,4.0
1,2,4,None,42,None,1,1,6.0,17.0,2,4.0
2,1,4,54094.526585297936,53,1.0,1,1,1.0,20.0,2,4.0
8,1,4,-8500.0,39,1.0,1,1,6.0,19.0,2,4.0
1,2,3,43669.6696821271,36,1.0,5,1,6.0,21.0,2,4.0
1,2,4,None,53,1.0,1,1,1.0,15.0,1,4.0
9,1,4,-8500.0,41,1.0,1,1,1.0,19.0,2,4.0
1,2,4,-8500.0,53,1.0,1,1,4.0,22.0,1,4.0
1,2,4,100802.11645396322,55,None,1,1,2.0,22.0,2,4.0
1,1,3,88291.11050542755,8,3.0,1,1,1.0,16.0,2,4.0
8,2,4,82548.29430922479,45,None,1,1,6.0,None,2,None
1,1,3,65999.10284432024,36,1.0,1,1,1.0,18.0,2,4.0
1,2,4,53834.64663797256,42,None,1,1,5.0,20.0,2,1.0
1,2,3,3246.569051164792,36,1.0,1,1,6.0,22.0,1,4.0
1,2,3,63701.27245120106,36,None,1,1,6.0,21.0,2,4.0
1,1,4,74600.77855810292,42,1.0,1,1,6.0,19.0,2,4.0
1,1,3,52311.15462463192,17,2.0,1,1,1.0,19.0,2,4.0
9,2,4,-8500.0,26,None,1,1,4.0,20.0,1,None
9,1,4,106279.8620956855,39,None,1,1,5.0,6.0,2,4.0
2,1,4,30701.39633472605,42,1.0,1,1,None,21.0,1,4.0
6,2,4,-8500.0,45,1.0,1,1,6.0,4.0,2,2.0
1,2,3,53398.98275755855,12,1.0,1,1,1.0,18.0,2,4.0
4,2,4,-8500.0,53,8.0,1,1,6.0,22.0,2,4.0
1,2,3,23888.2407004522,17,1.0,1,1,1.0,16.0,2,4.0
1,2,4,21529.12374992053,37,3.0,1,1,1.0,21.0,1,4.0
1,1,3,83837.91739766896,54,None,1,1,6.0,None,2,4.0
9,2,4,82737.35187477274,53,None,1,1,1.0,19.0,2,4.0
1,2,4,123809.85938498226,37,1.0,1,1,1.0,21.0,2,4.0
1,1,3,64490.0772418682,21,3.0,1,1,1.0,20.0,2,None
9,2,4,None,42,None,1,1,6.0,1.0,2,4.0
8,1,4,13403.45226397422,45,1.0,1,1,1.0,22.0,2,4.0
1,2,2,90548.79954492098,47,1.0,1,1,1.0,19.0,2,4.0
1,2,4,-8500.0,37,1.0,1,1,None,22.0,1,4.0
9,1,3,73428.5856258979,17,1.0,1,1,1.0,12.0,2,4.0
1,2,4,-8500.0,39,None,1,1,None,18.0,2,4.0
1,2,3,99295.91351537246,17,5.0,1,1,1.0,18.0,2,4.0
1,1,4,74827.06872461905,42,None,1,1,1.0,19.0,2,4.0
2,1,3,40126.49567570829,36,1.0,1,1,6.0,16.0,2,4.0
1,1,4,52662.13398976811,26,None,1,1,6.0,21.0,2,1.0
1,1,3,None,12,1.0,1,1,1.0,22.0,2,4.0
1,2,4,48419.98428439296,26,1.0,1,1,None,13.0,2,4.0
1,1,3,-8500.0,8,None,1,1,None,18.0,2,4.0
4,2,3,32796.56889572033,36,None,1,2,5.0,12.0,2,4.0
1,1,4,3388.21590712935,55,1.0,1,1,5.0,7.0,2,None
1,2,4,None,45,None,1,1,4.0,None,2,4.0
1,1,3,-3200.6839463213764,72,1.0,1,1,1.0,1.0,1,4.0
1,1,3,None,12,2.0,1,1,1.0,16.0,2,4.0
1,2,4,131995.26334425044,53,1.0,5,1,6.0,19.0,2,4.0
1,2,4,-8500.0,45,None,1,1,1.0,18.0,2,4.0
4,2,4,-5766.126151473087,39,7.0,1,2,1.0,21.0,2,4.0
1,1,2,93187.07515449588,47,1.0,1,1,1.0,1.0,2,4.0
1,2,3,56856.96183774376,36,None,1,1,5.0,21.0,2,4.0
9,2,4,64352.160697871775,45,1.0,1,1,1.0,21.0,2,4.0
1,2,4,39040.75130015322,26,1.0,1,1,6.0,21.0,2,4.0
6,1,4,65832.4127137187,26,3.0,1,1,6.0,19.0,2,4.0
1,2,4,31533.14216935356,37,5.0,1,1,1.0,18.0,2,4.0
1,1,3,None,17,1.0,1,1,6.0,2.0,2,1.0
2,2,3,112040.28625629791,17,3.0,1,1,1.0,21.0,2,4.0
2,2,3,None,17,1.0,4,1,6.0,21.0,2,4.0
9,2,4,-8500.0,18,1.0,1,1,None,21.0,1,4.0
1,1,4,8203.136648536216,41,None,1,1,None,22.0,2,4.0
9,2,4,None,39,1.0,1,1,6.0,16.0,2,4.0
1,1,2,None,40,1.0,1,1,3.0,18.0,2,4.0
2,1,4,-8500.0,37,None,1,1,6.0,4.0,2,4.0
9,2,2,149884.20143220515,47,5.0,1,1,1.0,19.0,2,4.0
1,2,4,None,45,1.0,1,1,6.0,19.0,2,4.0
1,1,4,6738.356551068078,39,1.0,1,1,1.0,4.0,2,4.0
1,2,3,17989.028680018317,12,1.0,1,1,6.0,16.0,2,4.0
9,2,4,107441.21094108798,26,None,1,1,6.0,20.0,2,4.0
9,1,4,98052.51359195552,39,1.0,1,1,None,None,2,1.0
9,2,3,None,36,None,1,1,None,19.0,2,4.0
1,2,4,30021.012962888264,23,None,1,1,1.0,19.0,2,4.0
1,1,3,120188.07256842744,36,8.0,1,1,1.0,16.0,2,4.0
9,1,4,-6514.663162412711,37,1.0,1,1,1.0,20.0,2,4.0
1,1,3,136165.69713482718,17,None,1,1,6.0,24.0,2,None
9,2,3,27112.42956690472,36,None,1,1,6.0,18.0,2,4.0
1,2,4,68091.55935402235,27,1.0,1,1,1.0,17.0,2,None
1,1,3,59199.439173350685,17,1.0,1,1,6.0,1.0,2,4.0
1,2,2,16330.137874416352,47,None,1,1,6.0,19.0,2,4.0
2,2,3,-8500.0,12,None,1,1,6.0,20.0,2,None
1,1,2,21557.982442457687,47,7.0,1,1,1.0,21.0,2,4.0
2,2,4,None,26,1.0,1,1,1.0,12.0,2,4.0
9,1,2,23477.778829780334,47,None,1,1,4.0,18.0,2,2.0
1,2,4,86645.91671984516,37,1.0,5,1,6.0,9.0,2,4.0
2,2,4,-8500.0,39,None,1,1,6.0,16.0,2,4.0
6,1,4,139298.07752491758,26,1.0,1,1,6.0,19.0,2,4.0
1,2,4,40650.317683818685,37,3.0,1,1,1.0,19.0,1,4.0
1,1,4,None,41,1.0,1,1,1.0,19.0,2,4.0
1,1,3,-8500.0,16,1.0,1,1,4.0,16.0,2,4.0
9,1,4,29583.82138028628,18,2.0,4,1,6.0,19.0,2,4.0
6,1,4,None,37,None,1,1,None,21.0,2,4.0
1,1,4,55762.161449817024,42,None,1,1,5.0,18.0,2,4.0
1,2,4,70149.9706137936,55,1.0,1,1,6.0,11.0,2,4.0
2,1,3,35007.34312746962,17,None,1,1,6.0,3.0,2,1.0
1,2,3,None,12,1.0,1,1,6.0,20.0,1,4.0
1,1,3,62036.77797793392,36,1.0,1,1,1.0,4.0,2,4.0
9,1,4,-8500.0,39,1.0,1,1,6.0,16.0,2,4.0
1,2,4,98904.27100634012,42,1.0,1,1,6.0,21.0,2,4.0
1,1,4,91264.09512512643,42,1.0,1,1,1.0,19.0,2,4.0
1,2,3,134686.50687347748,17,3.0,1,1,1.0,21.0,2,4.0
1,1,4,None,39,None,1,1,None,19.0,2,4.0
1,1,4,-3913.3098135353066,42,None,1,1,None,12.0,2,4.0
2,2,4,22312.03968146213,55,None,1,1,1.0,4.0,2,None
1,1,4,None,45,1.0,1,1,6.0,17.0,2,4.0
6,1,4,26318.382302483504,45,1.0,1,2,6.0,21.0,2,4.0
1,2,3,2820.242465297626,12,None,1,1,None,18.0,2,2.0
1,2,4,78161.72958329605,18,7.0,1,1,6.0,21.0,2,4.0
9,2,3,12796.907608618698,17,1.0,1,1,1.0,21.0,2,4.0
4,1,4,-8500.0,27,1.0,1,1,1.0,19.0,2,4.0
1,2,3,41828.13714259482,17,None,4,1,6.0,20.0,2,4.0
1,2,4,108827.03483584376,41,1.0,1,1,1.0,20.0,2,4.0
1,1,3,35360.637832974455,36,None,1,1,6.0,5.0,2,4.0
1,2,4,-8500.0,42,1.0,1,1,6.0,20.0,2,4.0
1,1,2,28459.4560260134,47,1.0,1,1,1.0,19.0,2,4.0
9,1,4,122959.48176305856,37,2.0,1,1,1.0,18.0,2,4.0
1,1,4,43378.6720982451,18,None,1,1,4.0,22.0,2,4.0
1,1,3,87525.34855931636,36,None,1,1,None,10.0,2,None
9,1,4,64376.60599371104,42,None,1,1,None,19.0,2,4.0
1,1,4,57722.10382839919,53,3.0,1,1,6.0,16.0,2,None
1,2,4,1695.0639427554925,37,1.0,1,1,None,16.0,2,4.0
1,1,4,-8500.0,33,1.0,1,1,5.0,4.0,1,4.0
1,2,4,None,42,None,1,1,None,None,2,2.0
1,2,4,-8500.0,28,None,1,1,6.0,21.0,2,4.0
1,1,4,29191.737051019765,37,None,1,2,1.0,21.0,2,4.0
1,2,4,59372.28488699249,26,None,1,1,6.0,19.0,2,None
1,2,3,39383.44768850585,12,None,1,1,1.0,19.0,2,4.0
1,2,4,150581.73494132617,41,1.0,1,1,None,22.0,2,4.0
1,1,3,98432.66521677804,36,1.0,1,1,1.0,16.0,2,4.0
9,2,3,56764.853129884665,16,1.0,1,1,6.0,21.0,2,4.0
1,2,4,89702.08051732578,42,1.0,1,1,1.0,21.0,2,4.0
1,2,2,None,10,None,1,1,None,17.0,2,4.0
1,2,4,-8500.0,39,4.0,3,1,1.0,16.0,2,4.0
9,2,3,89421.6327885914,36,1.0,1,1,1.0,9.0,2,4.0
1,1,4,38892.61058467092,42,1.0,1,1,1.0,21.0,2,4.0
1,1,2,96391.01603128282,40,None,1,1,1.0,20.0,2,4.0
2,1,4,77341.20615872243,39,None,1,1,1.0,23.0,2,4.0
1,2,4,None,53,8.0,1,1,1.0,21.0,2,4.0
9,1,4,160942.7723609635,37,1.0,1,1,1.0,21.0,2,4.0
1,2,4,21733.31631580081,37,None,1,1,3.0,4.0,2,4.0
1,2,4,None,37,None,1,1,5.0,6.0,2,4.0
8,1,4,None,39,1.0,1,1,3.0,18.0,2,4.0
1,2,3,17641.869090383258,12,None,1,1,6.0,23.0,2,4.0
2,1,4,905.1053482352364,26,1.0,1,1,6.0,20.0,2,4.0
6,2,3,68619.09074546692,21,1.0,1,1,6.0,22.0,2,4.0
1,2,4,-8500.0,26,None,1,1,6.0,20.0,2,4.0
1,2,4,13716.710691526025,37,1.0,1,1,6.0,13.0,2,4.0
9,2,3,None,12,None,1,1,6.0,18.0,2,4.0
1,1,4,76926.18593443782,26,None,1,1,6.0,19.0,2,4.0
6,2,4,4894.455473913025,39,None,1,1,5.0,20.0,2,4.0
2,2,4,30555.36610116947,39,5.0,1,2,1.0,None,2,4.0
8,1,3,None,12,1.0,1,1,6.0,16.0,2,4.0
1,1,4,75916.45168910813,26,6.0,1,1,1.0,20.0,2,4.0
1,1,3,None,36,None,1,2,4.0,12.0,2,4.0
1,2,3,104549.8038546791,36,None,1,1,6.0,12.0,2,None
9,2,4,50989.00900724738,26,1.0,1,1,6.0,11.0,2,4.0
2,2,2,-8500.0,10,None,1,1,4.0,18.0,2,4.0
9,1,3,None,72,4.0,1,1,6.0,21.0,2,4.0
1,2,4,84701.17639002689,37,1.0,1,1,6.0,21.0,2,4.0
9,2,3,61377.64623886379,56,None,4,2,6.0,13.0,2,4.0
1,1,4,34997.46700554151,26,1.0,1,1,6.0,19.0,2,4.0
1,2,4,72481.7432494541,13,2.0,1,1,6.0,9.0,2,4.0
9,2,4,None,37,1.0,1,1,6.0,16.0,2,4.0
1,2,4,149356.9642934067,25,1.0,1,1,6.0,1.0,2,4.0
1,1,3,110721.32947118903,6,1.0,1,1,4.0,17.0,2,2.0
9,1,3,27741.41981094985,12,1.0,1,1,6.0,20.0,2,4.0
4,2,4,None,13,1.0,1,1,1.0,21.0,2,4.0
1,1,3,-8500.0,36,1.0,1,1,None,16.0,1,4.0
1,2,4,None,29,None,1,1,4.0,22.0,2,4.0
1,2,4,None,9,1.0,1,1,6.0,22.0,2,1.0
1,2,4,107181.57440832123,31,1.0,1,1,3.0,16.0,2,4.0
2,1,3,98590.159889252,6,1.0,1,1,4.0,21.0,2,4.0
1,2,3,None,36,None,1,1,6.0,19.0,2,4.0
1,2,4,50828.75578157565,51,1.0,1,1,6.0,10.0,2,4.0
1,1,4,71548.17651916461,26,None,1,1,1.0,21.0,2,4.0
1,1,3,14330.563560707164,2,1.0,1,1,1.0,20.0,2,4.0
1,1,4,-8500.0,48,1.0,1,1,1.0,22.0,2,4.0
2,1,3,108361.88704298442,6,1.0,1,1,6.0,4.0,2,4.0
1,1,4,65763.63258932106,20,3.0,1,1,5.0,19.0,1,4.0
1,2,2,23527.492330548328,47,1.0,1,1,6.0,13.0,2,4.0
2,2,3,117474.6385847455,36,8.0,1,1,6.0,19.0,2,4.0
1,2,2,137676.30047544022,24,1.0,1,1,6.0,19.0,2,4.0
1,1,4,105339.7579882721,51,8.0,1,1,6.0,21.0,2,4.0
1,2,3,120394.89201925896,34,None,1,1,None,4.0,2,1.0
1,2,3,-411.4423412060205,36,None,1,1,1.0,20.0,2,4.0
1,1,4,89043.9853578677,26,None,1,1,6.0,22.0,2,4.0
2,1,3,93044.34680818036,17,1.0,1,2,1.0,1.0,2,4.0
1,1,4,40413.73836952284,48,None,1,1,6.0,17.0,1,4.0
1,2,4,-8500.0,32,None,1,1,6.0,19.0,2,4.0
1,2,4,None,39,3.0,1,1,4.0,19.0,2,4.0
9,1,3,77754.95233886578,17,None,1,1,None,23.0,2,4.0
1,1,4,-8500.0,13,None,1,1,6.0,18.0,1,4.0
8,2,4,110083.5585782446,39,None,1,1,1.0,12.0,2,4.0
1,2,3,-8500.0,56,None,1,1,6.0,22.0,2,4.0
8,2,3,505.935000603793,34,1.0,1,2,5.0,20.0,2,4.0
1,2,3,-8500.0,34,None,1,1,1.0,21.0,2,4.0
1,2,3,60916.04454338784,34,1.0,1,1,6.0,16.0,2,4.0
1,2,4,-8500.0,32,None,1,1,3.0,19.0,2,None
2,2,4,-8500.0,51,None,1,1,None,20.0,2,4.0
1,1,3,79441.32650404281,6,None,1,1,1.0,19.0,2,None
9,2,4,-8500.0,39,1.0,1,1,6.0,1.0,2,4.0
1,1,4,112514.22498122402,13,1.0,1,1,5.0,17.0,2,4.0
1,2,3,42166.56366436305,56,1.0,1,1,1.0,16.0,2,4.0
9,2,3,-8500.0,36,2.0,4,2,1.0,21.0,2,4.0
6,1,4,None,48,1.0,1,1,1.0,19.0,1,4.0
1,1,3,15668.191719105012,12,1.0,1,1,1.0,16.0,2,4.0
4,1,4,52476.52769995574,37,None,1,1,1.0,21.0,2,4.0
2,1,3,None,6,1.0,3,1,1.0,15.0,2,4.0
2,1,3,5658.274918295043,56,2.0,1,1,6.0,19.0,2,4.0
9,2,3,-8500.0,56,1.0,1,1,1.0,22.0,2,4.0
9,2,4,13333.729883554925,48,1.0,1,1,6.0,22.0,2,4.0
1,1,4,-8500.0,37,1.0,1,1,6.0,18.0,2,None
2,2,3,122853.46104422287,6,None,1,1,4.0,15.0,2,4.0
1,1,3,72785.64410046846,36,1.0,1,1,6.0,12.0,2,4.0
1,1,3,-8500.0,12,None,1,1,1.0,16.0,2,4.0
2,1,4,68213.02772485446,39,1.0,1,1,6.0,16.0,2,4.0
1,1,4,9638.732529213828,49,1.0,1,1,None,4.0,2,4.0
9,1,2,124556.1785979381,47,3.0,1,1,1.0,20.0,2,None
1,1,3,124929.35605309458,36,3.0,1,1,1.0,16.0,2,4.0
1,2,3,104196.7365638862,12,1.0,1,1,1.0,21.0,2,4.0
1,1,3,14217.79524586851,34,None,1,1,6.0,22.0,2,None
1,1,3,54476.47336120175,6,1.0,1,1,6.0,4.0,2,4.0
9,2,4,60913.8442705959,25,None,1,1,6.0,22.0,2,None
1,1,4,None,37,None,1,1,6.0,19.0,2,4.0
1,2,3,-8500.0,6,1.0,1,1,None,19.0,2,4.0
1,2,3,36863.87169668087,17,3.0,1,1,6.0,22.0,2,4.0
1,2,4,90805.3145115568,48,1.0,1,1,6.0,16.0,2,4.0
1,1,4,26028.13732717106,39,None,1,1,6.0,4.0,2,4.0
